Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y
Male,No,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,4153,0.0,100.0,360.0,1.0,Rural,N
Male,Yes,0,Not Graduate,Yes,3718,0.0,70.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4950,4500.0,270.0,360.0,1.0,Semiurban,Y
Female,No,3+,Graduate,No,2776,0.0,78.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3567,3526.0,189.0,360.0,1.0,Rural,Y
Male,No,1,Graduate,No,4788,1490.0,153.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5140,0.0,98.0,360.0,0.0,Semiurban,N
Male,Yes,1,Not Graduate,No,3167,2333.0,158.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,8000,0.0,170.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,6250,3750.0,220.0,360.0,1.0,Rural,N
Female,No,0,Graduate,No,2650,0.0,75.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4196,0.0,128.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2654,0.0,80.0,180.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,9000,0.0,115.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4950,4500.0,300.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,3000,0.0,66.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,2000,0.0,90.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,3450,0.0,100.0,360.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,3333,0.0,78.0,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,6500,4583.0,370.0,360.0,0.0,Urban,N
Male,No,0,Graduate,No,2500,0.0,67.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,2917,1917.0,80.0,360.0,1.0,Rural,Y
